frame,lady,x_start,x_end,y_start,y_end,movie,count
249,2,970,1042,364,436,1,3
250,1,269,341,381,453,1,3
250,3,1541,1613,373,445,1,3
250,2,972.25,1044.25,364.75,436.75,1,3
251,1,269,341,381,453,1,3
251,3,1541,1613,373,445,1,3
251,2,974.5,1046.5,365.5,437.5,1,3
252,1,269,341,381,453,1,3
252,3,1541,1613,373,445,1,3
252,2,976.75,1048.75,366.25,438.25,1,3
253,1,269,341,381,453,1,3
253,3,1541,1613,373,445,1,3
253,2,979,1051,367,439,1,3
254,1,269,341,381,453,1,3
254,3,1541,1613,373,445,1,3
254,2,981.25,1053.25,367.75,439.75,1,3
255,1,269,341,381,453,1,3
255,3,1541,1613,373,445,1,3
